solution,avg_num_guesses
RARER,2.6
SENSE,2.65
SASSY,2.7
SISSY,2.7
STATE,2.75
EERIE,2.85
SALSA,2.9
TASTY,2.9
TOOTH,2.95
TATTY,2.95
BASIS,3.0
ARRAY,3.0
ELATE,3.0
CEASE,3.0
SLASH,3.05
ROTOR,3.05
ALGAE,3.05
LEVEL,3.1
RIDER,3.1
CURRY,3.1
BELLE,3.1
SEIZE,3.1
MISSY,3.15
ABATE,3.15
LLAMA,3.15
LOOSE,3.15
TRUSS,3.2
MELEE,3.2
TENET,3.2
BRASS,3.2
RIGOR,3.25
START,3.25
BOSSY,3.25
ASSAY,3.25
SCREE,3.25
MAMMA,3.25
STAIR,3.25
GASSY,3.25
FREER,3.25
SWISH,3.25
SCARE,3.3
SILLY,3.3
AMASS,3.3
SEVER,3.3
SEPIA,3.3
TASTE,3.3
BILLY,3.3
ARSON,3.3
DRIER,3.35
BRIAR,3.35
RADAR,3.35
ALLEY,3.35
ARMOR,3.35
AVAIL,3.35
SEMEN,3.35
GEESE,3.35
PENNE,3.35
TRUST,3.35
REFER,3.35
COULD,3.35
EATEN,3.4
ADAGE,3.4
COLON,3.4
CROSS,3.4
TEPEE,3.4
AGAIN,3.4
SHUSH,3.4
REBAR,3.4
ARISE,3.4
SEGUE,3.45
ABODE,3.45
TRUTH,3.45
BLOOD,3.45
BASAL,3.45
STOUT,3.45
BETEL,3.45
SUSHI,3.45
DRAMA,3.45
COUCH,3.45
TRITE,3.45
FLOSS,3.5
DENSE,3.5
STOKE,3.5
LOWLY,3.5
HITCH,3.5
DOLLY,3.5
ROOST,3.5
ARBOR,3.5
CLASS,3.5
LEASE,3.5
SLYLY,3.55
BULLY,3.55
BEGET,3.55
STUNT,3.55
SPASM,3.55
SATYR,3.55
DONOR,3.55
LUCKY,3.55
VIRUS,3.55
KIOSK,3.55
JUNTA,3.55
RACER,3.55
THERE,3.55
LOATH,3.55
TERSE,3.6
BLISS,3.6
FOLIO,3.6
LIPID,3.6
SLUSH,3.6
MOTTO,3.6
NOISE,3.6
AWARE,3.6
EMCEE,3.6
LOGIC,3.6
SAUNA,3.6
ALLAY,3.6
VALVE,3.6
HUNCH,3.6
CLOCK,3.6
TOAST,3.6
BEECH,3.65
FIFTH,3.65
LINEN,3.65
TAINT,3.65
BIRTH,3.65
ELIDE,3.65
GUAVA,3.65
ANGRY,3.65
SURER,3.65
CHILI,3.65
CHUCK,3.65
LOOPY,3.65
CRANE,3.65
PLANE,3.65
CLASH,3.65
ALARM,3.65
PARER,3.65
SIXTH,3.65
EVENT,3.7
MOTOR,3.7
SOOTH,3.7
SOLAR,3.7
SEDAN,3.7
