guess,avg_correct,avg_present,avg_absent,avg_tile_score,guess_pool_shrink,solution_pool_shrink
AAHED,0.38444924406047515,1.180561555075594,3.4349892008639307,1.9494600431965443,0.8893876093982787,0.8924909851704304
AALII,0.31360691144708425,1.3105831533477321,3.375809935205184,1.9377969762419007,0.8375203878231832,0.8426156767069866
AARGH,0.35550755939524836,1.0846652267818575,3.5598272138228944,1.7956803455723542,0.8622854408465085,0.8734733100401644
AARTI,0.32742980561555074,1.3870410367170627,3.2855291576673866,2.041900647948164,0.9135709809265212,0.9204452136269704
ABACA,0.2937365010799136,1.1930885529157667,3.5131749460043196,1.780561555075594,0.7528482346759159,0.7550806319943649
ABACI,0.2708423326133909,1.1028077753779697,3.626349892008639,1.6444924406047516,0.8542205541225527,0.8563226959121888
ABACK,0.314902807775378,0.8665226781857451,3.8185745140388767,1.496328293736501,0.7903454125150099,0.7846615881960544
ABACS,0.2816414686825054,1.0794816414686825,3.638876889848812,1.6427645788336933,0.8730061558072579,0.8560948644626789
ABAFT,0.3248380129589633,0.9533477321814254,3.7218142548596114,1.603023758099352,0.8254197610537133,0.8286250344032953
ABAKA,0.25183585313174944,1.1287257019438446,3.619438444924406,1.6323974082073434,0.7084669156162234,0.6920610722632471
ABAMP,0.25399568034557235,0.9248380129589633,3.8211663066954644,1.432829373650108,0.8022093440665357,0.7929433826719349
ABAND,0.33002159827213823,0.9680345572354212,3.7019438444924404,1.6280777537796975,0.8416834997326024,0.8371169338850301
ABASE,0.457451403887689,1.1663066954643628,3.376241900647948,2.081209503239741,0.9213926789649614,0.9014973247064642
ABASH,0.33434125269978404,0.9969762419006479,3.668682505399568,1.665658747300216,0.8736109806867626,0.8479925735530791
ABASK,0.323110151187905,0.9317494600431966,3.7451403887688985,1.5779697624190065,0.8572490074984565,0.816837509154775
ABATE,0.44362850971922246,1.2012958963282938,3.355075593952484,2.088552915766739,0.9057357298557652,0.9039204362571084
ABAYA,0.22937365010799135,1.244060475161987,3.5265658747300215,1.7028077753779698,0.751394530435715,0.7468671309750944
ABBAS,0.17840172786177105,1.104535637149028,3.7170626349892006,1.4613390928725702,0.8084836987324084,0.7765794494539789
