guess,guess_pool_shrink,solution_pool_shrink
SOARE,0.9706479281842467,0.961767233135388
RAISE,0.9684624600984743,0.9622898833320116
STARE,0.9681710199539264,0.9597007029934367
ARISE,0.9676924014441471,0.9612876861859689
STRAE,0.9676111165500839,0.9598568822917493
AROSE,0.9676097845567361,0.9605370179456917
SNARE,0.9673704919517633,0.9587268681572431
SERAI,0.9668526462378847,0.9592148118431304
SERAL,0.9661919109375966,0.959091099925829
SLATE,0.9660881819556193,0.9573878685817445
STOAE,0.9658369680101816,0.9563300663808666
SANER,0.965789549046992,0.9586772341150075
STEAR,0.9655605127907991,0.9580560622104876
REAST,0.9655323744313221,0.9596982772695678
STALE,0.9653172242057824,0.9563726098456401
AESIR,0.9648345431162917,0.9603114256259068
SLANE,0.9646098025386463,0.9555754796635705
SAINE,0.9645668790530059,0.9549173621185898
SALET,0.9644684780444206,0.9575992797466051
REAIS,0.9643041100652743,0.9593974875098545
EARST,0.9636527653180901,0.9584273845565358
STANE,0.963596921496974,0.9539138588135411
STORE,0.9634547645069064,0.9541071703464586
LASER,0.9634330197154996,0.958973545615271
TASER,0.9632314558221095,0.9594706324142016
ARLES,0.9631976564909034,0.9604541701458701
SLIER,0.9631085128360871,0.9555415195294095
STIRE,0.9630591624825424,0.9541661340958815
REALS,0.9630504046262793,0.9587550438729479
SOREL,0.9629984901855401,0.9557751353973756
SCARE,0.9629743811059409,0.9543712010598547
TEARS,0.9628704856247948,0.9587528047432231
RESAT,0.9628368527927571,0.9586033428340851
ROATE,0.9628182381857187,0.9627754012940305
AEROS,0.9627089481315131,0.9585738609593739
LEARS,0.9626629943610061,0.9581902233998386
LARES,0.9625939971055786,0.9595870671598973
SOLER,0.9624957958959953,0.9549742733324313
SCRAE,0.9624718533155646,0.9545447336135355
TARES,0.9624477109361317,0.9599539112464958
URASE,0.962338887079598,0.9545225289104301
RALES,0.962308950529101,0.9591620057004511
LAERS,0.9622648615492814,0.9579349626111983
AISLE,0.9621634302558294,0.9561093255088191
LEAST,0.9621594675756188,0.9558555574733287
SNORE,0.9621166106896463,0.9519596583461227
SETAL,0.9620668607380974,0.954804099473338
SARED,0.9620365911892635,0.9529862993249958
SAYER,0.9619969976869935,0.95303686633795
RATES,0.9619873407352204,0.9591724549725006
RAILE,0.9619335282039602,0.9620336895726527
ORATE,0.9618569718862824,0.9616319523811746
SILER,0.9618469486363385,0.954632806049382
ARETS,0.9618068223367292,0.9580760277838679
SAICE,0.9617932027047454,0.9525015277395519
SOLAR,0.9615866771361344,0.9537132701090177
REANS,0.9615766871860242,0.9569038433728757
TORSE,0.9615283358274909,0.9549520686293262
STAIR,0.9613824492560483,0.9523567306840074
EARLS,0.9613652998416926,0.9575886438804118
ASTER,0.9613480505278359,0.9579416800003732
SLART,0.9612395263698053,0.9525756056146177
TERAS,0.9612387937734639,0.9582829606892789
IRATE,0.9611958702878238,0.9616819596116976
SHARE,0.9611942718958062,0.9512017129342397
NEARS,0.9610110895106191,0.9563304395691542
CARSE,0.9609777563770847,0.9557419216397893
SORAL,0.9609629046512542,0.9528806870396372
ANISE,0.9609164513832418,0.9520430659283761
ROAST,0.9608197819660089,0.9536910654059123
SENOR,0.9608196154668405,0.95206471084905
STOLE,0.9606692667176819,0.9512948234119671
URSAE,0.9605797234648611,0.9541670670666001
SERAC,0.960573829394296,0.953334297403076
ALOES,0.9604807896589366,0.9556600068106864
STEAL,0.9604713991058329,0.9523397506169269
NARES,0.9604314060055584,0.9575509518633758
SITAR,0.9603500545118276,0.9523466546002454
SPARE,0.9601955432834569,0.9487259818350603
STELA,0.9600506890068592,0.9520940061296176
SARGE,0.9599000405591974,0.9500509868497778
SALUE,0.9598955783814815,0.9501730194197854
REIST,0.9597859553289393,0.9538403407209065
TEALS,0.9597851561329303,0.9554810630268368
ARIEL,0.9597597150599831,0.9613880738353026
SERON,0.9597519894985646,0.9508117311738171
TOISE,0.9597295121108164,0.9511121477452432
SAUTE,0.9596446308347135,0.9493732769197039
STILE,0.9595714045004059,0.9500496806907716
SONAR,0.9595658767280115,0.9509154775177381
EARNS,0.9595612480511272,0.9558512658080226
SLADE,0.9595036060389915,0.9480561088590234
SERIN,0.9594013422496968,0.9511339792600608
STADE,0.9593564207740346,0.9474317648540602
LEATS,0.959220890450873,0.9547496139833651
SABRE,0.9591977803662849,0.947990987502857
TALES,0.959185093129645,0.9561904939613468
SORTA,0.9591429022403463,0.9511511459212852
SCALE,0.9590750038794306,0.9499196245725826
SPAER,0.9590203255524943,0.9484218333807595
SIREN,0.9589610185486733,0.9517812743447046
STEAN,0.9588865601205189,0.9501164813942315
REALO,0.9588742391820494,0.9598852446015982
RINSE,0.9588433369363752,0.9514989574052218
RAINE,0.9588396739546683,0.9591196488298215
SHEAR,0.9587671136170346,0.9496415992984061
SOLEI,0.9587429712376015,0.9505980808792316
PRASE,0.9585584901589,0.9491909744412673
TOEAS,0.9585523629894991,0.9534266615042287
SATED,0.958526255919878,0.9484953514733941
TESLA,0.9583633864332481,0.9541588569242753
ORALS,0.9583405427473295,0.952884418922512
SARIN,0.9583358807706115,0.9498431209736481
SNARL,0.9583233933329738,0.9490792045491654
ROSET,0.9583145688770429,0.9541028786811525
ARTEL,0.9582875294120782,0.961405240496527
TAELS,0.9582809360450054,0.9543812771436166
PARSE,0.9582541962785438,0.9496992568888225
LOSER,0.9582456382212827,0.9536837882343063
